Goshawk,,, 1, Tempelhof, Berlin,,,04/27/2017,07:10,BE,DE,traveling,1,30,N,12,,,
Song Thrush,,, 1, Volkspark Hasenheide, Berlin,,,04/27/2017,07:30,BE,DE,traveling,1,30,N,12,,,
Red Kite,,, 3, At viewing center, Doune,,,05/16/2017,17:00,SCT,GB,stationary,1,30,N,,,,
Goosander,,, 4, male and female In streams, Doune,,,05/17/2017,07:00,SCT,GB,incidental,1,30,N,,,,
European Robin,,, 5, male All over, Lismore,,,05/18/2017,16:00,SCT,GB,incidental,1,30,N,,,,
Buzzard,,, 3, male and female Hovering over cliffs, Lismore,,,05/18/2017,17:00,SCT,GB,incidental,1,30,N,,,,
Common Loon (Great Northern Diver),,, 2, male In ocean, Oban,,,05/19/2017,16:00,SCT,GB,incidental,1,30,N,,,,
Blue tit,,, 1, male Next to canal, Oxford,,,05/24/2017,11:20,ENG,GB,incidental,1,30,N,,,,
Fieldfare,,, 1, male Saxon Gardens, Warsaw,,,05/25/2017,18:40,MZ,PL,incidental,1,30,N,,,,
Great Tit,,, 2, male and female Palace of Culture, Warsaw,,,05/26/2017,12:00,MZ,PL,incidental,1,30,N,,,,
Bullfinch,,, 1, female on telephone Wires, Glasgow,,,06/06/2017,09:00,SCT,UK,incidental,1,30,N,,,,
Waxwing,,, 1, In bush, Moffat,,,06/13/2017,09:30,SCT,UK,incidental,1,30,N,,,,
Meadow pipit,,, 10, On moor, Moffat,,,06/13/2017,10:00,SCT,UK,incidental,1,30,N,,,,
Grey Wagtail,,, 1, On stream, Talla Resevoir,,,06/13/2017,16:00,SCT,UK,incidental,1,30,N,,,,
European Goldfinch,,, 1, male On Castle Cliffs, Edinburgh,,,06/14/2017,15:30,SCT,UK,incidental,1,30,N,,,,
Western Gull,,, 5, Oakland highway, Oakland,,,06/17/2017,10:00,CA,US,incidental,1,30,N,,,,
California Scrub Jay,,, 2, In undergrowth, Santa Cruz,,,06/17/2017,17:00,CA,US,incidental,1,30,N,,,,
American Bushtit,,, 25, In chaparral understory, Santa Cruz,,,06/18/2017,07:00,CA,US,incidental,1,30,N,,,,
Acorn Woodpecker,,, 3, In the woods near the cabin, Santa Cruz,,,06/18/2017,09:00,CA,US,incidental,1,30,N,,,,
Killdeer,,, 1, In corn field, Jericho,,,10/11/2017,18:00,VT,US,incidental,1,30,N,,,,
